#1.2																																																																																																								
5565	103																																																																																																							
symbol	symbol	BR_BR8T	BR_BR10T	BR_BR14T	BR_BR16T	BR_BR17T	BR_BR20T	BR_BR6T	BR_BR15T	BR_BR21T	BR_BR29T	BR_BR31T	BR_BR32T	BR_U1	BR_U16	BR_UX7	BR_UX8	BR_UX19	BR_B24T	BR_B46T	BR_B30T	BR_B34T	BR_B36T	BR_B37T	BR_B38T	BR_B39T	BR_B41T	PR_PR29T	PR_PR13BT	PR_PR8T	PR_PR21T	PR_PR27T	PR_PR9T	PR_PR7T	PR_PR19T	PR_PR5T	PR_PR24T	PR_U40	PR_U41	PR_PR4	PR_PR3	PR_PR1	PR_PR10	PR_PR22	PR_PR12	PR_PR31	PR_PR30	PR_PR26	PR_PR16	PR_PR23	PR_PR6	PR_PR11	PR_PR17	LU_A_LU_A31T	LU_A_LU_A34T	LU_A_LU_A39T	LU_A_LU_A8T	LU_A_LU_A20T	LU_A_LU_A5T	LU_A_LU_A6T	LU_A_LU_A17T	LU_A_LU_A18T	LU_S_LU_S19T	LU_S_LU_S24T	LU_S_LU_S25T	LU_S_LU_S12T	LU_S_LU_S13T	LU_S_LU_S14T	LU_S_LU_S11T	LU_S_LU_S7T	LUA_U17	LUA_UX4	LUA_LU40T	LUA_LU44T	LUA_LU33T	LUS_U2	LUS_U19	LUS_LU41T	LUS_LU30T	LUS_LU26T	LUS_LU36T	CO_CO7T	CO_CO9T	CO_CO42T	CO_CO15T	CO_CO40T	CO_CO27T	CO_CO30T	CO_CO32T	CO_CO20T	CO_CO24T	CO_CO8T	CO_U6	CO_U12	CO_CO14T	CO_CO21T	CO_CO23T	CO_CO5T	CO_CO43T	CO_CO44T	CO_CO49T	CO_CO51T	CO_CO56T	CO_CO61T
SEC61B	SEC61B	1529.8	705.59	888.28	819.53	752.07	592.08	1015.35	650.55	1277.68	994.03	664.3	880.17	603.96	451.81	747.56	1554.99	692.94	781.42	795.03	578.77	1058.55	662.08	1042.73	671.9	1154.89	429.21	910.11	930.46	916.18	1102.16	1118.15	955.82	841.98	799.04	870.31	839.31	953.45	924.05	883.26	772.74	907	638.15	744.03	878.44	979.03	540.11	585.37	687.71	673.7	726.24	1408.01	953.45	554.91	623.41	1251.43	688.33	930.35	1110.29	656.7	336.73	267.99	1192.26	448.74	563.56	1395.75	663.54	852.52	1054.1	668.59	869.86	771	492.47	708.61	715.24	986.62	778.8	547.12	561.24	776.1	885.92	584.98	517.67	731.31	536.86	784.24	853.96	872.82	1198.39	953.5	646.17	855.72	667.1	573.27	785.77	668.84	426.31	836.41	1135.41	887.58	683.29	880.54	1115.45	715.86
SEC61G	SEC61G	818.12	370.68	761.38	581.57	885.55	369.5	904.8	910.99	1464.23	1130.59	1356.58	1310.45	345.27	61.61	772.9	1146.98	466.14	849.42	935.86	1166.38	936.41	800.32	1370.53	1184.5	1109.72	867.51	763.38	547.8	785.16	1132.57	1007	778.37	678.61	962.21	809.47	896.49	889.95	644.85	762.07	405.86	772	596.45	791.96	864.7	967.69	544.85	978.75	991.32	697.8	722.41	1094.89	889.95	248.25	835.24	1321.64	886.82	797.45	814.47	345.33	889.47	246.24	892.69	1664.42	1336.62	864.08	582.57	975.15	1238.37	785.75	894.68	981.47	645	929.98	769.01	805.7	659.37	817.21	663.64	774.04	899.31	1116.6	613.72	744.45	557.39	1170.9	661.43	687.9	1193.41	792.28	364.39	981.84	715.04	735.67	806.32	866.65	1507.25	533.35	1851.43	722.65	758.45	759.42	1131.8	983.83
SEC6L1	SEC6L1	20	20	35.69	20	77.7	20	20	20	20	23.51	25.91	20	83.52	20	62.38	22.61	20	20	60.93	20	21.43	42.12	20	23.84	39.01	20	50.83	79.55	84.44	89.14	105.39	85.7	93.2	71.79	118.72	70.75	61.54	69.35	82.16	133.95	121	91.16	89.88	85.39	62.37	81.49	60.23	44.62	106.02	96.64	65.92	61.54	123.08	67.59	53.69	32.59	20	20	20	56.12	21.76	83.16	119.09	68.85	37.16	20	112.75	20	61.61	280.6	133.04	67.79	64.69	95.37	28.4	73.04	273.06	68.27	222.33	154.52	20	20	42.24	43.11	24.85	125.81	48.61	28.86	47.73	20	20	41.82	20	49.91	20	20	35	108.04	79.13	117.14	198.02	138.47	101.19
SECTM1	SECTM1	369.82	20	278.58	340.4	332.7	33.99	94.45	20	155.1	286.57	20	20	2376.13	20	614.03	220.97	20	137.07	150.82	308.16	120	694.48	315.95	43.35	373.67	255.51	20	88.61	35.91	20	26.83	187.54	89.02	20	78.49	31.98	99.64	20	90.38	70.98	137	166.81	20	59.87	51.98	20	20	29.75	20	20	136.99	99.64	163.76	395.43	163.14	150.11	20	1070.39	100.88	696.75	158.23	193.37	162.92	20	52.65	20	247.25	141.67	20	220.16	94.88	20	463.98	358.13	354.47	461.95	138.02	36.14	186.31	187.48	20	61.68	28.16	20	40.75	327.86	20	404.11	20	20	103.7	556.93	32.28	29.36	20	20	285.56	20	663.54	20	20	103.85	20
SEL1L	SEL1L	99.98	34.89	194.31	116.31	135.47	140.34	69.77	178.31	146.42	113.06	51.82	120.91	65.18	20	130.6	127.44	127.51	84.19	20.97	70.69	83.57	114.49	105.67	68.27	20	24.24	215.78	305.12	230.99	220.22	96.77	59.49	86.92	204.19	109.89	95.95	220.78	133.29	111.95	92.97	87	249.25	242.68	240.47	191.84	176.25	203.28	193.36	264.08	172.23	492.34	220.78	88.66	141.22	139.39	38.51	236.62	26.27	129.01	99.54	80.1	122.23	57.16	140.65	96.01	20	180.99	84.21	79.79	52.88	58.89	273.15	167.8	93.34	37.87	95.75	46.67	49.2	81.32	232.81	139.95	39.43	72.29	32.85	85.48	91.5	76.08	98.54	75.3	144.06	39.24	126.48	50.87	156.57	180.18	97.99	22.11	91.34	38.13	47.83	59.6	80.77	60.9
SELE	SELE	92.45	52.33	118.97	146.19	82.68	371.69	85.86	135.08	154.02	320.15	116.07	173.2	90.65	418.43	347.95	164.44	176.63	125.2	145.82	83.94	85.71	54	109.99	94.28	57.49	44.44	37.4	544.78	370.74	361.79	91.02	132.08	159.18	159.44	40.23	98.86	75.22	90.06	140.71	129.96	91	119.29	307.6	185.5	161.6	233.1	172.22	212.61	192.76	218.16	182.31	75.22	51.11	84.73	47.5	65.18	52.36	103.15	118.34	131.3	41.53	20.04	37.16	20	32	35.55	56.37	39.63	82.82	31.3	259.54	149.54	108.16	392.62	49.44	28.63	133.06	122.49	221.3	165.85	302.06	83.92	82.61	129.34	112.32	124.85	84.53	90.58	176.06	151.48	99.02	132.6	34.24	112.53	211.52	137.39	93.96	195.46	130.61	150.32	175.92	80.77	163.04
SELENBP1	SELENBP1	3499.3	353.23	793.11	1569.7	721.19	1389.19	1292.27	398.76	455.54	915.67	318.16	1067.53	209.81	2534.99	346	476.88	2052.68	2151.07	403.51	2828.69	963.19	2911.84	1121.44	1054.45	664.19	583.73	822.84	859.97	864.74	970.02	805.79	1615.22	894.34	707.67	870.31	576.66	600.79	1505.86	1787.06	968.67	899	984.39	1054.62	819.55	536.77	1904.61	1886.91	916.08	1763.77	695.62	782.8	600.79	6204.11	463.02	335.57	694.25	348.38	932.21	1220.29	2278.74	2710.6	297.56	137.19	370.79	216.8	471.98	543.95	194.18	73.73	372.34	1388.24	1570.13	809.69	683.79	357.62	346.46	268.1	328.31	388.05	248.26	1064.24	570.25	538.86	1426.84	1227.55	775.8	3704.74	564.36	3177.62	1871.76	629.64	1417.83	1603.4	1970.79	1088.94	2907.42	578.49	880.04	266.94	1692.6	1513.06	1682.79	1399.85
SELL	SELL	110.73	44.48	71.38	20	20	92.1	27.91	64.84	62.91	44.78	20	20	20	88.56	50.68	20	104.52	44.25	88.89	20	30	20	45.29	20	192.99	20	24.93	20	40.76	46.14	48.86	58.48	20	20	20	34.89	24.42	71.15	22.6	20	20	39.76	20	20	20	26.53	20	20	39.52	25.83	32.96	24.42	294.14	130.13	41.3	42.46	138.95	77.85	66.93	32.83	132.51	42.08	20	31.47	20	105.65	124.61	20	50.5	20	21.81	119.63	81.88	232.33	20	37.51	42.7	65.26	94.7	186.45	23.16	20	20	214.54	20	59.09	36.98	20	156.97	106.99	44.84	20	89.02	20	58.76	20	27.63	20	44.81	20	20	20	20
SELP	SELP	39.78	97.68	209.18	59.76	93.64	565.76	20	103.74	188.72	126.49	94.31	162.31	98.79	216.92	20.47	145.94	20	90.66	129.84	231.95	139.28	124.21	61.46	32.51	45.17	29.29	58.5	109.76	113.55	210.78	73.78	55.45	111.01	116.55	111.85	87.23	98.67	110.78	106.81	143.95	99	109.59	141.81	94.22	106.79	108.02	85.64	111.12	170.59	183.71	91.67	98.67	158.54	107.94	79.5	56.29	101.69	81.74	228.92	70.95	129.55	99.19	34.3	58.03	20	138.24	109.78	35.67	49.49	26.98	158.13	89.72	113.22	238.41	94.66	120.42	75.47	89.36	120.43	157.61	149.01	72.8	58.2	371.59	59.64	109.6	247.26	66.69	280	243.64	210.19	144.84	103.7	57.73	20	68.7	191.6	20	69.6	76.14	75.94	75	108.69
SELPLG	SELPLG	98.9	141.29	200.26	220.89	133.48	236.83	147.04	20	157.27	156.72	22.8	159.04	127.31	481.33	148.15	41.11	89.88	103.61	127.84	143.59	53.57	89.64	180.08	219.99	157.06	39.39	20	52.36	20	93.33	65.15	51.42	35.61	75.52	20	67.84	73.27	63.94	20	20	20	125.11	146.81	47.11	20	20	20	20	72.29	50.71	20	73.27	88.66	96.84	66.08	20	65.45	118.72	265.79	255.19	263.05	113.21	20	31.47	56.78	151.07	124.61	54.49	20	71.23	20	20	158.7	135.95	132.53	50.34	116.18	82.33	117.34	130.83	249.7	179.97	96.69	182.72	77.53	89.59	274.74	195.09	20	240.46	122.38	164.22	20	93.94	85.2	20	20	149.29	63.88	20	59.6	20	20
SEMA3B	SEMA3B	20	20	20	20	355.62	20	20	20	20	238.43	20	20	20	20	20	20	20	20	20	20	20	20	20	60.69	20	20	20	20	20	20	20	20	90.06	20	20	20	20	20	20	20	31	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	145.96	20	20	189.87	20	20	20	20	20	20	20	20	20	20	20	20	32.46	20	20	20	20	20	20	20	91	20	20	20	20	20	20	20	20	20	121.38	20	28.38	20	20	20	20	20	20	20	20	48.72
SEMA3C	SEMA3C	201.57	271.68	662.74	472.72	510.015	652.93	425.565	1034.18	1234.83	206.53	485.53	356.205	58.565	27.33	24.855	135.665	888.375	323.795	40.95	219.245	219.1	622.65	76.56	705.5	154.495	158.05	280.035	866.515	668.21	235.95	464.695	420.945	410.515	368.75	623.54	155.065	85.965	70.7	265.495	558.315	712.5	514.985	1034.645	420.57	217.355	917.245	1534.47	202.99	543.105	491.82	392.43	85.965	164.285	329.86	130.615	222.2	41.285	117.745	284.705	375.91	153.28	88.665	179.59	143.105	148.145	49.37	574.115	683.58	56.055	123.03	308.62	276.645	272.42	439.795	29.45	59.72	40.71	532.62	239.315	491.37	203.89	331.63	251.595	262.785	279.8	147.725	290.06	57.73	486.295	164.19	137.79	317.74	240.66	382.61	554.755	471.775	71.39	620.25	55.295	400.21	353.755	127.895	85.265
SEMA3F	SEMA3F	363.155	375.445	485.78	555.955	610.66	895.38	575.635	544.105	466.385	489.105	291.73	535.94	358.32	1227.065	150.84	268.755	351.175	487.845	257.2	477.705	409.635	697.175	236.445	588.995	284.095	333.675	212.905	268.865	327.55	236.475	174.32	406.325	264.43	306.75	244.8	257.625	232.99	174.365	287.06	272.405	251	342.655	208.23	161.46	206.485	434.93	553.365	268.61	589.37	342.07	170.465	232.99	165.935	292.035	166.755	187.14	213.46	205.59	440.69	152.95	320.025	135.24	540.675	329.65	238.67	424.09	256.755	322.565	220.175	280.6	263.545	321.035	253.22	291.675	481.215	329.32	304.91	594.37	545.245	353.55	568.875	230.02	202.305	459.36	276.32	204.425	361.915	113.02	387.655	450.665	267.175	207.885	274.625	220.17	216.625	232.35	258.845	188.58	145.38	278.2	280.695	194.725	161.325
SEMA4D	SEMA4D	471.95	453.53	511.56	422.57	163.36	417.75	410	368.5	298.27	383.95	308.83	360.56	328.97	1159.04	328.46	236.38	301	350.78	346.58	302.64	252.85	208.45	339.67	288.27	341.85	280.76	88.23	126.88	198.96	198.2	123.6	203.67	222.01	146.38	108.91	189.96	139.7	211.65	172.54	164.94	84	231.79	150.8	110.91	159.71	187.62	139.28	132.99	154.21	199.02	155.53	139.7	464.16	210.83	176.56	280.47	305.08	255.92	465.61	277.43	357	175.33	192.45	189.82	130.08	476.92	376.81	160.49	186.84	249.3	415.49	426.68	211.27	312.47	271.37	232.95	203.56	273.09	480.69	380.12	464.16	341.74	300.41	565.6	208.73	320.23	325.46	270.73	583.34	496.81	227.94	263.17	255.33	161.46	173.33	263.67	358.33	188.58	259.32	221.58	238.4	179.82	251.11
SEMA4F	SEMA4F	263.39	171.82	183.41	112.05	101.6	316.87	147.04	63.76	233.19	171.27	126.43	128.54	130.37	558.34	20	182.94	76.3	172.69	95.88	136.96	87.86	183.61	159.59	136.55	142.69	224.2	93.03	119.83	169.84	202.39	116.89	140.15	117.29	98.83	93.21	107.58	131.88	99.97	93.46	99.97	73	204.64	116.85	137.41	153.09	82.44	127.99	110.24	163.85	45.93	129.78	131.88	166.89	96.84	83.63	103.69	123.85	64.22	348.24	84.71	20	75.14	73.36	85.57	119.75	201.43	35.6	70.34	37.37	45.33	235.55	197.39	108.16	129.86	95.72	109.57	119.16	136.54	215.13	90.65	178.21	199.18	92.94	195.04	79.52	279.25	325.46	108.49	252.43	243.64	85.95	55.08	150.65	27.4	20	28.29	140.94	20	63.88	23.43	20	35.58	37.48
SEMA6A	SEMA6A	32.575	132.975	111.615	22.805	39.885	127.185	133.63	58.63	156.185	74.44	22.955	38.865	68.055	340.78	100.385	69.89	54.87	99.835	21.485	71.24	23.395	20	87.88	32.215	29.505	27.17	34.935	95.16	81.04	87.04	52.635	22.605	62.885	76.92	53.965	28.415	62.52	104.115	46.975	75.475	35	97.955	79.895	78.03	35.045	180.035	85.64	77.87	94.455	44.445	54.075	62.52	172.625	107.43	89.315	34.07	42.795	99.255	176.055	103.245	74.665	88.17	57.635	99.83	88.78	159.96	59.45	55.48	49.39	30.22	99.785	48.88	60.65	52.25	63.11	119.93	95.325	35.645	62.275	82.41	50.275	43.365	118.755	161.16	42.8	66.72	129.97	81.12	133.105	123.405	41.1	59.98	157.015	62.625	120.94	71.22	81.525	106.57	46.24	48.805	106.225	35.48	68.4
SEMG1	SEMG1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	1145.95	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
SENP5	SENP5	93.53	46.23	53.53	59.76	102.6	199.55	122.36	146.97	174.62	148.88	107.78	177.56	107.96	382.49	68.23	139.77	136.91	86.34	106.87	146.9	106.07	59.4	143.42	149.55	112.92	36.36	55.62	76.53	61.14	88.09	52.7	61.5	76.45	91.37	59.85	63.97	88.9	68.45	59.57	68.98	63	74.68	53.93	50.06	61.43	51.17	70.58	69.12	102.16	72.72	61.8	88.9	225.3	121.05	124.94	123.44	94.65	145.96	235.72	137.66	108.78	121.23	144.81	187.85	186.86	144.16	101.87	154.55	163.61	112.24	106.87	82.74	60.65	47.68	133.58	95.75	88.37	130.52	166.75	106.1	100.69	134.47	138.94	129.34	100.39	103.89	146.88	98.54	177.12	110.17	81.27	110.16	118.37	82.2	88.13	62.63	56.19	117.86	52.44	80.04	65.37	42.31	89.95
SENP6	SENP6	24.73	40.12	71.38	41.62	46.82	37.28	54.74	76.73	37.96	29.1	89.13	42.48	20	20	20	34.94	33.44	69.08	83.9	81.73	50.36	46.44	59.31	62.86	43.12	142.4	42.2	34.24	34.94	84.94	33.53	20	35.61	42.89	21.59	24.23	63.5	153.11	25.68	26.99	32	27.16	21.97	37.3	51.98	20	20	50.75	44.34	28.71	47.38	63.5	70.93	39.34	25.81	20	23.16	20	20	20	39.56	32.06	25.72	20	40.26	59.24	20	20	20	59.36	38.17	20	20	20	22.09	20	20	39.16	20	20.6	76.52	35.39	32.86	80.07	20	82.92	64.46	20	60.46	74.15	26.16	20.4	23.48	41.1	20	20	21.19	39.29	20	41.97	21.15	20	20
SEPHS1	SEPHS1	20	64.54	20	20	20	20	106.26	20	59.65	20	140.94	23.96	147.68	20	114.03	74	20	49.65	29.96	176.72	41.78	52.92	20	70.44	20	139.37	37.4	41.29	20	20	38.33	32.26	51.31	59.67	65.74	79.47	50.8	59.44	53.41	54.98	36	20	36.95	56.93	51.03	36.96	20	42.87	20	20	87.55	50.8	20	20	20	29.63	40.28	20	20	30.71	20	20	20	20	28.91	90.84	20	26.75	48.48	67.99	93.78	20	20	20	33.66	22.7	20	20	20	111.25	20	20	41.31	20	20	20	20	20	20	20	20	20	32.28	59.69	73.44	39.4	20	80.54	45.76	20	49.99	45.2	110.56
SEPHS2	SEPHS2	339.72	447.43	988.41	994.53	501.05	692.95	490.5	485.21	611.72	560.82	413.5	793.02	493.97	299.06	280.7	812.95	603.05	1531.54	501.39	489.31	1038.19	1485.08	663.16	626.39	848.97	412.04	406.63	317.2	330.95	450.93	160.97	348.86	339.31	287.17	329.68	481.68	337.03	977.19	360.49	260.91	361	407.33	487.36	413.21	365.72	273.85	299.27	164.49	363.35	295.66	439.81	337.03	450.6	1159.05	2066.09	354.53	1158.92	339.61	357.94	423.56	290.74	345.66	601.17	401.28	365.46	361.39	384.72	288.29	396.91	504	483.1	285.12	294.16	281.02	458.6	262.56	579.89	339.35	533.18	441.93	700.77	563.17	567.02	623.09	395.6	683.35	1074.65	509.61	707.43	870.73	316.69	418.21	547.84	469.7	1121.26	543.5	363.86	332.96	330.82	574.94	447	432.72	376.67
SEPP1	SEPP1	985.82	334.92	2240.53	498.33	691.31	1417.7	3003.12	785.63	208.25	1418.28	381.38	581.69	66.2	240.02	55.56	329.91	1598.04	2260.08	260.68	1112.26	1585.68	729.04	88.42	1766.45	363.4	1050.31	421.01	1276.86	745.36	551.6	412	987.08	461.83	1179.45	576.93	928.47	471.84	513.36	877.1	451.85	749	1085.25	1217.41	501.54	654.89	558.12	1087.92	614.22	1045.73	372.21	550.02	471.84	1005.51	595.16	206.51	337.74	433.96	481.68	468.52	581.33	781.24	327.62	1160.42	1390.72	665.87	409.77	715.05	357.64	274.71	454.36	525.63	443.62	782.4	641.18	1354.76	540.92	1268.01	836.33	865.65	599.54	196.34	475.21	156.78	211.46	187.86	171.55	1249	203.05	370.16	601.68	90.62	93.84	632.95	107.64	330.01	141.43	35.93	630.57	40.04	740.88	260.51	20	58.09
SEPT10	SEPT10	377.34	500.63	242.89	395.89	345.65	472.57	578.51	245.31	443.61	214.92	667.41	396.51	96.76	123.22	274.85	356.63	278.01	328.11	737.11	636.21	200.35	424.46	362.31	291.52	356.22	897.81	421.01	440.05	430.91	342.92	247.2	289.37	486.97	441.94	435.64	439.04	377.08	279.2	308.11	373.87	495	316.17	357.53	378.86	287.28	285.22	259.74	230.99	337.33	352.12	332.69	377.08	232.6	504.37	792.98	467.11	369.52	451.51	137.74	324.02	303.6	503.96	447.78	744.53	726.78	98.74	606.26	1137.32	781.71	431.69	667.4	419.7	836.98	530.6	701.57	510.32	568.97	585.33	296.44	355.4	212.45	561.15	530.41	325.4	477.11	507.04	466	566.35	359.55	447.02	341.91	508.99	486.2	483.4	548.39	852.63	371.23	647.26	654.01	751.62	394.13	552.92	397.28
SEPT11	SEPT11	138.575	130.16	103.89	102.64	88.425	147.5375	134.0675	181.415	144.3725	93.1525	121.2525	86.97	213.79	177.9575	100.76	174.72	110.8225	116.1675	71.42	89.22	109.0125	77.6325	107.3175	95.2175	108.6825	109.78	81.2425	68.2225	87.98	89.4175	94.555	89.6925	72.285	89.1475	57.5875	76.39	69.72	109.0225	74.975	72.9775	52.25	115.6525	72.4025	96.77	64.8125	67.0675	81.23	96.62	86.6825	71.4975	81.4775	69.72	130.9475	101.84	100.4125	120.7275	85.0125	75.1975	180.8175	100.5675	67.795	100.44	79.075	79.255	159.5	173.5375	154.145	125.6175	84.735	114.0025	118.685	97.7125	91.12	97.5775	105.9725	65.5225	130.3625	94.6075	119.145	123.2075	194.54	109.8975	129.1525	224.9275	106.385	149.6275	220.83	118.245	185.04	163.1	144.66	78.595	121.17	120.9575	130.59	146.685	107.315	110.0975	87.2225	132.02	105.935	103.1275	89.565
SEPT2	SEPT2	1001.95	469.23	958.67	1964.52	1579.85	1928.64	2043.58	1680.41	1866.62	1241.42	1992.9	1511.97	1731.43	576.31	1275.82	2234.34	2465.51	1190.48	1100.66	1654.58	1692.82	2498.18	1915.08	2429.68	1225.72	1615.86	2499.22	2383.54	1963.37	1914.88	2231.5	1839.05	2160.45	1864.75	2596.2	2079.85	2001.66	2098.48	2094.15	2228.25	2544	2001.75	2159.17	2154.39	2011.93	1955.78	2219.12	1580.17	2982.02	2003.63	2654.31	2001.66	2353.14	2430.07	2946.84	1575.15	2035.91	2119.37	1536.51	2695.95	1541.71	2429.61	1866.4	1913.96	2124.6	633.91	2399.31	1406.79	1120.04	2309.56	2008.74	2592.96	1284.79	2248.19	807.81	1783.65	915.51	1767.04	896.53	2410.51	1570.69	1696.59	2407.96	1584.92	2034.66	1520.15	1767.84	2041.45	992.74	2087.85	1276.11	1658.56	1702.21	2372.97	2603.86	1903.26	1266.59	1853.39	1392.87	2167	1666.87	1493.36	1932.06
SEPT6	SEPT6	20	71.49	98.645	27.075	20	43.86	66.545	81.045	44.71	26.79	20	35.6	72.31	20	149.865	83.76	20	143.545	20	204.335	70.175	54.54	65.535	105.12	138.07	69.08	84.875	44.74	69.685	51.91	65.63	94.775	57.65	60.6	83.4	56.7	38.585	69.8	42.865	63.98	109.5	53.645	42.46	80.975	41.185	55.485	61.175	70.87	37.47	53.06	56.135	38.585	97.615	61.95	39.425	73.575	120.255	48.435	44.92	59.24	189.87	91.155	39.54	32.13	42.845	47.52	82.085	43.095	20	36.98	20	44.89	99.46	74.93	45.235	28.755	42.2	40.12	20	131.855	29.13	49.94	31.59	20	20	20	20	26.92	20	20	37.56	50.29	56.47	20	20	91.93	20	20	35.74	21.225	21.055	20.58	20
SEPT7	SEPT7	733.19	629.71	806.99	1023.35	1124.62	1412.22	1132.34	2161.3	889.38	811.57	1238.44	1265.78	712.94	899.76	1273.87	1277.5	1262.54	922.81	903.9	1499.95	1066.05	1306.87	805.5	950.42	1198	1154.33	1048.21	943.55	975.38	876.69	991.67	943.73	919.48	1227	899.74	1132.97	810.82	1012.31	1070.18	1233.58	1090	1065.85	877.85	1014.87	954.46	1022.42	1060.62	725.34	1022.6	1042	1011.46	810.82	1149.45	939.14	869.39	889.79	1218.32	1095.69	1175.67	1464.45	1623.79	1653.14	1510.08	1635.62	1120.11	826.46	1358.89	1012.49	834.22	1551.94	1317.35	1662.84	1008.83	1246.85	985.57	887.38	757.63	984.92	815.22	1136.24	1484.1	940.3	1769.6	1024.45	1192.76	807.25	1188.77	1226.26	1127.44	830.48	825.83	1287.27	1461.55	953.1	1882.15	2221.48	667.84	1687.4	775.09	1041.53	1167.96	1282.77	1136.56
SEPT8	SEPT8	92.45	77.62	60.47	223.02	171.33	280.69	226.47	114.55	105.21	134.33	114	333.33	59.07	20	130.6	358.69	252.93	191.04	110.87	228.64	594.63	274.33	133.71	198.32	56.46	191.88	187.97	181.26	159.17	195.05	206	124.02	204.21	198.6	229.6	131.81	218.82	111.68	279.36	301.9	327	146.45	243.68	168.82	171.99	143.08	186.34	154.87	103.13	155.97	218.36	218.82	161.67	75.66	140.42	68.14	152.04	134.29	157.14	151.42	108.78	306.58	107.66	144.58	228.15	102.69	90.99	62.41	141.39	557.96	128.68	240.26	170.83	118.7	234.56	105.62	201.57	189.76	171.9	180.27	135.93	248.73	239.39	57.48	95.42	198.24	224.02	253.81	71.06	42.37	168.15	198.9	415.77	220.17	171.37	307.11	80.14	389.93	267.9	349.45	524.86	220.21	243.62
SEPT9	SEPT9	1286.84	1248.96	1429.58	1557.96	1913.55	1407.83	889.77	1388.63	2930.63	1427.24	1223.93	2556.62	2451.49	838.15	1141.32	2907.52	1617.89	5300.5	1193.55	1139.87	2120.31	843.53	2371.21	2897.85	2049.03	1532.04	1319.62	950.6	918.12	1677.88	2199.88	1082.86	2077.72	610.7	1974.13	655.16	1827.77	1222.16	823.69	2660.1	1849	1246.24	406.47	1839.32	2206.61	785.53	339.74	533.72	902.12	1524.25	2052.79	1827.77	1745.04	1319.44	1674.77	3017.97	1844.6	2691.55	1204.77	2542.41	2350.64	1438.73	2336.09	1465.46	2019.29	969.63	1560.64	2612.47	1039.24	1766.7	2735.03	2167.28	1495.05	1952.96	885.64	2215	834.09	700.79	2997.36	1412.31	1098.48	877.62	1155.64	360.3	1112.25	437.46	658.32	1573.64	1385.17	828.36	1377	1496.38	1631.77	1700.71	1464	682.91	402.55	769.06	2253.76	1948.35	1057.41	1259.69	1459.82
SEPW1	SEPW1	890.14	1657.14	849.62	1422.44	1977.3	1027.37	885.48	1057.95	1318.89	1311.94	1244.66	2705.86	700.72	20	1155.94	977.4	1297.03	2989.69	510.38	2849.68	1803.18	1737.81	1632.56	2104.57	1010.14	808.94	1429.9	1911.26	1550.9	2221.09	1283.9	1365.18	1405.39	1311.85	1627.78	1636.94	1074.59	882.62	1730.58	1346.55	2420	1252.06	1905.51	2078.81	1275.77	1453.57	2406.4	949.32	2111.7	1030.52	852.84	1074.59	1268.36	1035.98	773.37	2319.77	1597.91	413.56	447.18	1364.91	1476.44	1156.19	1669.18	1582.51	1318.32	853.12	1181.86	2735.32	455.49	1339.33	1592.16	501.45	489.25	868.43	858.3	553.75	751.67	744.97	653.61	611.9	682.65	1475.16	1306.78	840.71	1612.22	1082.69	1119.03	1357.65	1228.2	1191.7	1390.08	1886.02	1605.36	1616.55	1275.98	1251.66	2492.65	1793.48	1247	1871.24	2151.36	1678.95	850.78
SERP1	SERP1	1070.75	1554.23	1453.37	1051.09	810.84	1304.77	1088.34	3193.32	1489.18	1854.85	1457.11	2110	783.22	999.88	535.09	1316.56	2572.12	2443.56	1624.03	1478.96	1236.4	1177.26	1811.56	1543.21	1348.91	4934.43	1509.5	1867.96	1650.87	2130.91	2169.22	1687.82	1193.85	1863.81	1278.48	2555.72	2168.71	485.44	2406.37	1081.64	1207	1788.38	2286.01	1454.58	1980.75	1649.71	1683.63	1436.67	2025.92	1497.46	1670.66	2168.71	1365.36	892.74	1161.6	735.73	589.02	1061.63	511.2	887.35	730.81	743.41	907	789.78	1998.65	1190.81	726.92	2033.9	965.52	1460.2	825.53	867.31	835.97	821.76	1167.53	884.42	1370.29	1191.75	1967.02	810.72	664.52	1012.09	766.04	719.58	813.07	723.38	1113.75	1154.6	631.07	864.38	698.78	565.09	780.67	1046.06	861.75	1228.43	811.54	1546.95	896.16	767.24	515.25	1359.7	804.87
